doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
130,302,3,7,early,30,no,yes,TE,0,0,0,0
130,303,3,11,late,15,no,yes,TL,0,0,0,0
130,304,3,5,early,30,yes,yes,TE,0,0,0,0
130,305,3,2,early,15,yes,no,NEY,0,0,0,0
130,306,3,6,early,30,yes,no,NEY,0,0,0,0
130,307,3,8,early,30,no,no,NE,0,0,0,0
130,308,3,4,early,15,no,no,NE,0,0,0,0
130,309,3,10,late,15,yes,no,NL,0,0,0,0
130,310,3,1,early,15,yes,yes,TE,0,0,0,0
130,311,3,14,late,30,yes,no,NL,0,0,0,0
130,312,3,3,early,15,no,yes,TE,0,0,0,0
130,313,3,15,late,30,no,yes,TL,0,0,0,0
130,314,3,12,late,15,no,no,NL,0,0,0,0
130,315,3,9,late,15,yes,yes,TL,0,0,0,0
130,316,3,13,late,30,yes,yes,TL,0,0,0,0
130,401,4,8,early,30,no,no,NE,0,0,0,0
130,402,4,3,early,15,no,yes,TE,0,0,0,0
130,403,4,5,early,30,yes,yes,TE,0,0,0,0
130,404,4,15,late,30,no,yes,TL,0,0,0,0
130,405,4,4,early,15,no,no,NE,0,0,0,0
130,406,4,9,late,15,yes,yes,TL,0,0,0,0
130,407,4,16,late,30,no,no,NL,0,0,0,0
130,408,4,6,early,30,yes,no,NEY,0,0,0,0
130,409,4,11,late,15,no,yes,TL,0,0,0,0
130,410,4,1,early,15,yes,yes,TE,0,0,0,0
130,411,4,2,early,15,yes,no,NEY,0,0,0,0
130,412,4,12,late,15,no,no,NL,0,0,0,0
130,413,4,7,early,30,no,yes,TE,0,0,0,0
130,414,4,13,late,30,yes,yes,TL,0,0,0,0
130,415,4,14,late,30,yes,no,NL,0,0,0,0
130,416,4,10,late,15,yes,no,NL,0,0,0,0
137,101,1,1,early,15,yes,yes,TE,0,0,0,0
137,102,1,2,early,15,yes,no,NEY,0,0,0,0
137,103,1,3,early,15,no,yes,TE,0,0,0,0
137,104,1,4,early,15,no,no,NE,0,0,0,0
137,105,1,5,early,30,yes,yes,TE,0,0,0,0
137,106,1,6,early,30,yes,no,NEY,0,0,0,0
137,107,1,7,early,30,no,yes,TE,0,0,0,0
137,108,1,8,early,30,no,no,NE,0,0,0,0
137,109,1,9,late,15,yes,yes,TL,0,0,0,0
137,110,1,10,late,15,yes,no,NL,0,0,0,0
